des_name,hba_moles,hbd_moles,hbd_hba_ratio,temperature_c,inv_temperature,temp_x_dipole,temp_x_solvation,weighted_lumo_energy_ev,weighted_dipole_total,weighted_solvation_energy_eh,weighted_dispersion_energy_eh,weighted_total_energy_eh,dipole_total_difference,total_energy_eh_difference,hba_mw,hbd_mw,avg_molecular_weight,mw_ratio,hba_hbd_count,hbd_hbd_count,hba_hba_count,hbd_hba_count,total_hbond_donors,total_hbond_acceptors,hbond_network_strength,donor_acceptor_ratio,interaction_strength,viscosity_cp
F:12BD,1.0,2.0,2.0,25,3.354016435,125.65,-0.88271135,-0.2129,5.026,-0.035308454,-0.020543477,-43.39028267,11.48028906,38.55686297,180.16,90.12,120.1333333,1.999112295,5.0,2.0,6.0,2.0,7.0,8.0,7.483314774,0.875,-0.055851931,1.2636
F:12BD,1.0,2.0,2.0,30,3.298697015,150.78,-1.05925362,-0.2129,5.026,-0.035308454,-0.020543477,-43.39028267,11.48028906,38.55686297,180.16,90.12,120.1333333,1.999112295,5.0,2.0,6.0,2.0,7.0,8.0,7.483314774,0.875,-0.055851931,673.1
F:12BD,1.0,2.0,2.0,35,3.245172805,175.91,-1.23579589,-0.2129,5.026,-0.035308454,-0.020543477,-43.39028267,11.48028906,38.55686297,180.16,90.12,120.1333333,1.999112295,5.0,2.0,6.0,2.0,7.0,8.0,7.483314774,0.875,-0.055851931,331.4
F:12BD,1.0,2.0,2.0,40,3.193357816,201.04,-1.41233816,-0.2129,5.026,-0.035308454,-0.020543477,-43.39028267,11.48028906,38.55686297,180.16,90.12,120.1333333,1.999112295,5.0,2.0,6.0,2.0,7.0,8.0,7.483314774,0.875,-0.055851931,184.1
F:12BD,1.0,2.0,2.0,45,3.14317146,226.17,-1.58888043,-0.2129,5.026,-0.035308454,-0.020543477,-43.39028267,11.48028906,38.55686297,180.16,90.12,120.1333333,1.999112295,5.0,2.0,6.0,2.0,7.0,8.0,7.483314774,0.875,-0.055851931,173.6
F:12BD,1.0,2.0,2.0,50,3.09453814,251.3,-1.7654227,-0.2129,5.026,-0.035308454,-0.020543477,-43.39028267,11.48028906,38.55686297,180.16,90.12,120.1333333,1.999112295,5.0,2.0,6.0,2.0,7.0,8.0,7.483314774,0.875,-0.055851931,167.5
S:12BD,1.0,2.0,2.0,25,3.354016435,-38.3,-1.0766753,-1.5357,-1.532,-0.043067012,-0.047091295,-81.69268866,11.48028906,38.55686297,342.3,90.12,174.18,3.798268975,8.0,2.0,11.0,2.0,10.0,13.0,11.40175425,0.769230769,-0.090158307,1.2814
S:12BD,1.0,2.0,2.0,30,3.298697015,-45.96,-1.29201036,-1.5357,-1.532,-0.043067012,-0.047091295,-81.69268866,11.48028906,38.55686297,342.3,90.12,174.18,3.798268975,8.0,2.0,11.0,2.0,10.0,13.0,11.40175425,0.769230769,-0.090158307,822.4
S:12BD,1.0,2.0,2.0,35,3.245172805,-53.62,-1.50734542,-1.5357,-1.532,-0.043067012,-0.047091295,-81.69268866,11.48028906,38.55686297,342.3,90.12,174.18,3.798268975,8.0,2.0,11.0,2.0,10.0,13.0,11.40175425,0.769230769,-0.090158307,396.3
S:12BD,1.0,2.0,2.0,40,3.193357816,-61.28,-1.72268048,-1.5357,-1.532,-0.043067012,-0.047091295,-81.69268866,11.48028906,38.55686297,342.3,90.12,174.18,3.798268975,8.0,2.0,11.0,2.0,10.0,13.0,11.40175425,0.769230769,-0.090158307,203.2
S:12BD,1.0,2.0,2.0,45,3.14317146,-68.94,-1.93801554,-1.5357,-1.532,-0.043067012,-0.047091295,-81.69268866,11.48028906,38.55686297,342.3,90.12,174.18,3.798268975,8.0,2.0,11.0,2.0,10.0,13.0,11.40175425,0.769230769,-0.090158307,186.4
S:12BD,1.0,2.0,2.0,50,3.09453814,-76.6,-2.1533506,-1.5357,-1.532,-0.043067012,-0.047091295,-81.69268866,11.48028906,38.55686297,342.3,90.12,174.18,3.798268975,8.0,2.0,11.0,2.0,10.0,13.0,11.40175425,0.769230769,-0.090158307,170.2
M:12BD,1.0,2.0,2.0,25,3.354016435,273.55,-1.267411025,-1.3609,10.942,-0.050696441,-0.045406852,-81.69062436,11.48028906,38.55686297,342.3,90.12,174.18,3.798268975,8.0,2.0,11.0,2.0,10.0,13.0,11.40175425,0.769230769,-0.096103293,1.2685
M:12BD,1.0,2.0,2.0,30,3.298697015,328.26,-1.52089323,-1.3609,10.942,-0.050696441,-0.045406852,-81.69062436,11.48028906,38.55686297,342.3,90.12,174.18,3.798268975,8.0,2.0,11.0,2.0,10.0,13.0,11.40175425,0.769230769,-0.096103293,753.1
M:12BD,1.0,2.0,2.0,35,3.245172805,382.97,-1.774375435,-1.3609,10.942,-0.050696441,-0.045406852,-81.69062436,11.48028906,38.55686297,342.3,90.12,174.18,3.798268975,8.0,2.0,11.0,2.0,10.0,13.0,11.40175425,0.769230769,-0.096103293,363.8
M:12BD,1.0,2.0,2.0,40,3.193357816,437.68,-2.02785764,-1.3609,10.942,-0.050696441,-0.045406852,-81.69062436,11.48028906,38.55686297,342.3,90.12,174.18,3.798268975,8.0,2.0,11.0,2.0,10.0,13.0,11.40175425,0.769230769,-0.096103293,201.8
M:12BD,1.0,2.0,2.0,45,3.14317146,492.39,-2.281339845,-1.3609,10.942,-0.050696441,-0.045406852,-81.69062436,11.48028906,38.55686297,342.3,90.12,174.18,3.798268975,8.0,2.0,11.0,2.0,10.0,13.0,11.40175425,0.769230769,-0.096103293,179.6
M:12BD,1.0,2.0,2.0,50,3.09453814,547.1,-2.53482205,-1.3609,10.942,-0.050696441,-0.045406852,-81.69062436,11.48028906,38.55686297,342.3,90.12,174.18,3.798268975,8.0,2.0,11.0,2.0,10.0,13.0,11.40175425,0.769230769,-0.096103293,163.8
X:12BD,1.0,2.0,2.0,25,3.354016435,20.35,-0.659389925,-0.2813,0.814,-0.026375597,-0.015381216,-36.15664034,11.48028906,38.55686297,150.13,90.12,110.1233333,1.665889925,4.0,2.0,5.0,2.0,6.0,7.0,6.480740698,0.857142857,-0.041756813,1.24
X:12BD,1.0,2.0,2.0,30,3.298697015,24.42,-0.79126791,-0.2813,0.814,-0.026375597,-0.015381216,-36.15664034,11.48028906,38.55686297,150.13,90.12,110.1233333,1.665889925,4.0,2.0,5.0,2.0,6.0,7.0,6.480740698,0.857142857,-0.041756813,532.6
X:12BD,1.0,2.0,2.0,35,3.245172805,28.49,-0.923145895,-0.2813,0.814,-0.026375597,-0.015381216,-36.15664034,11.48028906,38.55686297,150.13,90.12,110.1233333,1.665889925,4.0,2.0,5.0,2.0,6.0,7.0,6.480740698,0.857142857,-0.041756813,258.9
X:12BD,1.0,2.0,2.0,40,3.193357816,32.56,-1.05502388,-0.2813,0.814,-0.026375597,-0.015381216,-36.15664034,11.48028906,38.55686297,150.13,90.12,110.1233333,1.665889925,4.0,2.0,5.0,2.0,6.0,7.0,6.480740698,0.857142857,-0.041756813,115.1
X:12BD,1.0,2.0,2.0,45,3.14317146,36.63,-1.186901865,-0.2813,0.814,-0.026375597,-0.015381216,-36.15664034,11.48028906,38.55686297,150.13,90.12,110.1233333,1.665889925,4.0,2.0,5.0,2.0,6.0,7.0,6.480740698,0.857142857,-0.041756813,97.5
X:12BD,1.0,2.0,2.0,50,3.09453814,40.7,-1.31877985,-0.2813,0.814,-0.026375597,-0.015381216,-36.15664034,11.48028906,38.55686297,150.13,90.12,110.1233333,1.665889925,4.0,2.0,5.0,2.0,6.0,7.0,6.480740698,0.857142857,-0.041756813,89.2
Cr:12BD,1.0,1.0,1.0,25,3.354016435,-17.575,-0.5931672,-7.2837,-0.703,-0.023726688,-0.010974576,-24.71441307,11.48028906,38.55686297,112.13,90.12,101.125,1.244229916,0.0,2.0,2.0,2.0,2.0,4.0,2.828427125,0.5,-0.034701264,1.1242
Cr:12BD,1.0,1.0,1.0,30,3.298697015,-21.09,-0.71180064,-7.2837,-0.703,-0.023726688,-0.010974576,-24.71441307,11.48028906,38.55686297,112.13,90.12,101.125,1.244229916,0.0,2.0,2.0,2.0,2.0,4.0,2.828427125,0.5,-0.034701264,196.7
Cr:12BD,1.0,1.0,1.0,35,3.245172805,-24.605,-0.83043408,-7.2837,-0.703,-0.023726688,-0.010974576,-24.71441307,11.48028906,38.55686297,112.13,90.12,101.125,1.244229916,0.0,2.0,2.0,2.0,2.0,4.0,2.828427125,0.5,-0.034701264,97.2
Cr:12BD,1.0,1.0,1.0,40,3.193357816,-28.12,-0.94906752,-7.2837,-0.703,-0.023726688,-0.010974576,-24.71441307,11.48028906,38.55686297,112.13,90.12,101.125,1.244229916,0.0,2.0,2.0,2.0,2.0,4.0,2.828427125,0.5,-0.034701264,40.5
Cr:12BD,1.0,1.0,1.0,45,3.14317146,-31.635,-1.06770096,-7.2837,-0.703,-0.023726688,-0.010974576,-24.71441307,11.48028906,38.55686297,112.13,90.12,101.125,1.244229916,0.0,2.0,2.0,2.0,2.0,4.0,2.828427125,0.5,-0.034701264,28.7
Cr:12BD,1.0,1.0,1.0,50,3.09453814,-35.15,-1.1863344,-7.2837,-0.703,-0.023726688,-0.010974576,-24.71441307,11.48028906,38.55686297,112.13,90.12,101.125,1.244229916,0.0,2.0,2.0,2.0,2.0,4.0,2.828427125,0.5,-0.034701264,20.9
